text,label
put a hundred dollars in my ally account from bluebird,transfer
i want seventy bucks transferred from b of a to chase,transfer
can i initiate a one-time transfer from my savings account to my money market account,transfer
what steps should i take to improve my credit score,improve_credit_score
give me a recommendation to improve my credit score,improve_credit_score
what can i do to raise my credit score,improve_credit_score
steps to raise my credit score,improve_credit_score
is there a quick way to improve my credit score,improve_credit_score
what are ways to improve my credit,improve_credit_score
how to keep my credit score from going down,improve_credit_score
what are some ways to increase my credit,improve_credit_score
what can i do to keep my score from dropping,improve_credit_score
how do i build my credit score,improve_credit_score
how can i build my credit,improve_credit_score
what are ways to improve my credit score,improve_credit_score
"i want to keep my credit score from going down, how do i do that",improve_credit_score
what can i do to improve my credit score,improve_credit_score
how can i keep my credit score from going down,improve_credit_score
how can i improve my credit score,improve_credit_score
how do i keep my credit score from dropping,improve_credit_score
how to improve my credit score,improve_credit_score
what are some way s i can do to improe my credit score,improve_credit_score
how to keep my credit up,improve_credit_score
how to keep my credit from dropping,improve_credit_score
"i want to keep my credit from going down, how do i do this",improve_credit_score
my credit is going down what should i do,improve_credit_score
how do i maintain my credit score,improve_credit_score
how can i build credit,improve_credit_score
how do i keep good credit,improve_credit_score
what are ways to build credit,improve_credit_score
how to build up my credit score,improve_credit_score
what can i do to keep my credit in good standing,improve_credit_score
how do i keep my credit from lowering,improve_credit_score
give me some ways to build my credit score,improve_credit_score
what can i do to maintain good credit,improve_credit_score
can you tell me some tricks and tips i can use to see an increase in my credit score,improve_credit_score
are there ways for me to make my credit score better,improve_credit_score
i need a list of different methods for building my credit score,improve_credit_score
what are some of the ways that i can see an improvement in my credit score,improve_credit_score
what methods can i use to improve my credit score,improve_credit_score
what are some tips to build my credit score,improve_credit_score
help me build my credit score by showing me some ways on how to,improve_credit_score
show me some ways to build my credit score,improve_credit_score
what are the best ways to build my credit score,improve_credit_score
what are some steps to building my credit score,improve_credit_score
will doing this hurt my credit score,improve_credit_score
tell me all the ways my credit score can get hurt,improve_credit_score
i'm not sure if this will hurt my credit score,improve_credit_score
i want to find out if this will hurt my credit,improve_credit_score
tell me if the following thing can hurt my credit score,improve_credit_score
i want to know if opening a new account will decrease my credit score,improve_credit_score
"i heard that opening a new account will decrease my credit score, is it true",improve_credit_score
is it true that opening a new account can decrease your credit score,improve_credit_score
please confirm that opening a new account can decrease your credit score,improve_credit_score
tell me if opening a new account will decrease my credit score,improve_credit_score
what are some mistakes to avoid so that my credit score stays high,improve_credit_score
how can i protect my credit rating,improve_credit_score
tell me some things i can do to secure my credit rating,improve_credit_score
what are some ways to keep my credit score up,improve_credit_score
give me tips on maintaining good credit,improve_credit_score
what factors can ruin a credit score,improve_credit_score
pull up ways to lower credit score,improve_credit_score
is it possible to lower my credit score by doing this,improve_credit_score
what can harm my credit score,improve_credit_score
are there any new harmful things that could affect my credit score,improve_credit_score
how can i make my credit score better,improve_credit_score
what steps can i take to make sure my credit score doesn't go down,improve_credit_score
how can i ensure my credit score doesn't drop,improve_credit_score
i'd like to improve my credit score,improve_credit_score
what do i do to stop my credit score from going lower,improve_credit_score
how do i make my credit score better,improve_credit_score
how can i go about improving my credit score,improve_credit_score
i'd like to make my credit score better,improve_credit_score
i'd like to find ways to improve my credit score,improve_credit_score
how do i prevent my credit score from lowering,improve_credit_score
how can i stop my credit score from dropping,improve_credit_score
tell me how to improve my credit score,improve_credit_score
ways to build credit,improve_credit_score
tell me ways to improve my credit score,improve_credit_score
how can i hurt my credit score,improve_credit_score
does carrying a balance hurt my credit score,improve_credit_score
would being late hurt my credit,improve_credit_score
does medical debt hurt my credit score,improve_credit_score
would late payments hurt my credit,improve_credit_score
can i hurt my credit score,improve_credit_score
how is the credit score hurt,improve_credit_score
so how can i hurt my credit score,improve_credit_score
will checking your credit lower my score,improve_credit_score
is it true a hard pull hurts my credit score,improve_credit_score
what lowers you credit score,improve_credit_score
can i harm my credit if i miss a car payment,improve_credit_score
will a loan lower my credit score,improve_credit_score
how do i make sure my credit doesn't fall,improve_credit_score
what's the best way to build credit,improve_credit_score
can i improve my credit score,improve_credit_score
what lowers credit score,improve_credit_score
how do i build credit,improve_credit_score
how to improve a credit score,improve_credit_score
how do i improve my credit score,improve_credit_score
how to protect my credit score,improve_credit_score
can i protect my credit score,improve_credit_score
how to keep credit score high,improve_credit_score
do you know if bouncing one check on your checking account can hurt your credit score or not,improve_credit_score
tell me about today weather,replacement_card_duration
can my debit card be replaced quickly,replacement_card_duration
how long does visa take to get me a new card,replacement_card_duration
is my card made immedietly after reporting stolen,replacement_card_duration
can i replace a stolen card soon,replacement_card_duration
how long to replace a credit card,replacement_card_duration
how soon until you send me replacement card,replacement_card_duration
when will you mail me a replacement card,replacement_card_duration
how long until you send me a replacement card,replacement_card_duration
when will you send me a replacement card,replacement_card_duration
when can you send me a replacement card,replacement_card_duration
how long will delivery of a new card take,replacement_card_duration
when can i expect my replacement card,replacement_card_duration
how long can i expect to wait for a new card,replacement_card_duration
when do they mail me a replacement card,replacement_card_duration
when does the replacement card arrive,replacement_card_duration
"if my credit card was stolen, how long will it take to replace",replacement_card_duration
how long will i have to wait until they replace a stolen credit card,replacement_card_duration
how long does it take to replace a stolen credit card,replacement_card_duration
how long will a new card take to come in the mail,replacement_card_duration
what's the timeline on replacing a stolen credit card,replacement_card_duration
"do i get a replacement card mailed, and when",replacement_card_duration
what's the transit time on a new card,replacement_card_duration
will you notify me when my new card is on the way,replacement_card_duration
what is the quickest way to get a new card,replacement_card_duration
what is the turn around for a new card,replacement_card_duration
how long will it take to get a new card,replacement_card_duration
when can i expect my new card,replacement_card_duration
my new card will arrive when,replacement_card_duration
my new card arrives in the post when,replacement_card_duration
how long til my new card arrives by mail,replacement_card_duration
my new card will get here in the mail when,replacement_card_duration
"if i ordered a new card, how long til it comes",replacement_card_duration
when can i expect my new card to get here,replacement_card_duration
when will my new card come in the mail,replacement_card_duration
when will my new visa get here,replacement_card_duration
my card is coming by mail how long will that take,replacement_card_duration
how long will it take a new card to come in the mail,replacement_card_duration
what date will my card be here,replacement_card_duration
how many days do i have to wait for my card,replacement_card_duration
when will me new card arrive,replacement_card_duration
how long does it take to get a replacement card,replacement_card_duration
if i order a new card how long would it take,replacement_card_duration
if i need a new card mailed how long will it take,replacement_card_duration
how long will it be for me to get a new card,replacement_card_duration
how long will a new card take to reach me,replacement_card_duration
time to get replacement credit card for stolen one,replacement_card_duration
how long it takes to get a new replacement card,replacement_card_duration
mailing to me for a new card takes how long,replacement_card_duration
mailing a new card to me takes how long,replacement_card_duration
"for anew card to be mailed to me, how long does it take",replacement_card_duration
it takes how long to mail me a new card,replacement_card_duration
a new cards takes how long to mail to me,replacement_card_duration
average time to receive new card,replacement_card_duration
how long to get a new credit card,replacement_card_duration
how many days before my credit card arrives,replacement_card_duration
will my credit card be mailed soon,replacement_card_duration
when will i get my new credit card,replacement_card_duration
my credit card was stolen; how long before a new one will arrive,replacement_card_duration
my credit card has been stolen and i want to know how long it will be before i can get a new one,replacement_card_duration
how long will it take for me to get a new credit card to replace the one that was stolen,replacement_card_duration
my credit card got stolen and i need to know how long it will be before a new on arrives,replacement_card_duration
how many days will it take to get a new credit card to replace the one stolen from me,replacement_card_duration
what's the expected time to have a stolen credit card replaced,replacement_card_duration
how long does it take to replace a lost card,replacement_card_duration
how long should i expect to wait for my new card in the mail,replacement_card_duration
how long should i wait to get my new card when my old one was stolen,replacement_card_duration
what's the typical lag time in receiving a new credit card when your previous one was lost,replacement_card_duration
what's the usual time to get a new card when your previous one was lost,replacement_card_duration
how long will it take before the postal service delivers my new card,replacement_card_duration
what's the typical time it takes for a new card to arrive,replacement_card_duration
when will i get a replacement card for a lost one,replacement_card_duration
what's the eta for a new card to come in the mail,replacement_card_duration
my last card was stolen and i want to know how long until i get my new one,replacement_card_duration
how many days till i get a new card to replace the stolen one,replacement_card_duration
what's the average time it takes for a new card to arrive,replacement_card_duration
how long until the credit card company replaces my lost card,replacement_card_duration
how long does it take to get a replacement credit card when your last one was stolen,replacement_card_duration
how soon will i be sent a new card,replacement_card_duration
how many days does it take to receive a new card,replacement_card_duration
how long does it take you to mail me a new card,replacement_card_duration
how soon will you mail me a new card,replacement_card_duration
what is the earliest date i can get my new card,replacement_card_duration
whats the wait time for a replacement card,replacement_card_duration
how long until i get a replacement card,replacement_card_duration
how long before i can get a replacement card,replacement_card_duration
when will a replacement card get here,replacement_card_duration
how long is the shipping for my replacement card,replacement_card_duration
what date will my replacement card arrive on,replacement_card_duration
is my replacement card coming soon,replacement_card_duration
when will my card replacement arrive,replacement_card_duration
when will my card come,replacement_card_duration
when should i expect my replacement card,replacement_card_duration
when will my replacement card get mailed,replacement_card_duration
do you know when my card will come in,replacement_card_duration
do when you when my replacement card will get mailed,replacement_card_duration
what date will my replacement card get mailed,replacement_card_duration
what would be the estimated time from to get a new card mailed to me,replacement_card_duration
what is the time frame to get a new card mailed to me,replacement_card_duration
how long until i can expect my new card to get mailed to me,replacement_card_duration
when will my application for my credit card be processed,application_status
has the discover card approved my app,application_status
do you know if my amex card app went through,application_status
have they looked over my app for the new credit card yet,application_status
has my application for the mastercard card gone through,application_status
have my app for a new card been processed yet,application_status
has the application i put in for a new visa been processed,application_status
has there been any notice that my card app has been looked at,application_status
has visa gotten back to me regarding my card app,application_status
see if my form submission for an american express card has been seen,application_status
do you know if anyone's even looked at the application i sent in for the new visa card,application_status
has anyone looked at my mastercard application,application_status
have i gotten confirmation for my credit card app,application_status
can you check if my application for a discovery card has been looked over yet,application_status
is there any indication my application for a new credit card has been processed,application_status
"i put in a credit card application, so what is the status with it currently",application_status
did my visa card app go through yet,application_status
did my chase card application go through yet,application_status
do you know the status of the credit card application i filed,application_status
has the application for my visa been processed,application_status
i filed a credit card application so what is going on with it,application_status
did my american express card application go through yet,application_status
what is the status of the application for a credit card i put in,application_status
has the application for my american express been processed yet,application_status
my credit card application has what status,application_status
where can i go to see if my credit card application has been processed,application_status
will i be notified when my application has been processed,application_status
what is the status of my credit card application,application_status
how will i know when my application for a credit card has been processed,application_status
where can i find out the status of my credit card application,application_status
"tell me if my application has been processed yet, i signed up for a credit card recently",application_status
can you check and see if my credit card application has been approved or not,application_status
has my application for a trust bank credit card been mailed out and if so was i approved or not,application_status
could you check and see if my credit card application has been processed and approved or not,application_status
i want to know if my application for a credit card at community bank has been approved or not,application_status
can you find out if my application at smith bank was approved or not  i applied for s credit card a month ago,application_status
can you tell me if my application for a credit card has been processed yet it was at chase bank,application_status
was my application approved or not for a credit card at chase bank,application_status
i want an update on my application for a credit card that i sent in a couple weeks ago,application_status
i haven't heard if my application for a credit card has been accepted or not can you check on it for me,application_status
please look into the latest status of my credit card application,application_status
can you update me on the status of my american express card application,application_status
"can you find out the latest on my credit card application, i haven't heard an update in some time",application_status
find out for me if my amex card application was received,application_status
can you check the status of my credit card application,application_status
how can i track the progress of my credit card application,application_status
"has my credit card application been received, or what is its current status",application_status
i need to know what the latest is with my application for a visa credit card,application_status
please check the status of my mastercard application,application_status
do you know what the latest is with my credit card application,application_status
i would like an update on the progress of my credit card application,application_status
update me on the status of my credit card application,application_status
please get me an update on the status of my credit card application,application_status
has there been any changes in the status of my credit card application,application_status
please find out the current status of my credit card application,application_status
i want to be updated on the most recent status of my credit card application,application_status
tell me the present status of the credit card application i submitted,application_status
look into the status of the credit card application i submitted recently for my new card,application_status
look to see if my application for the barclay's card has gone through yet,application_status
i want to know if my credit card application has been processed yet,application_status
i need to know if the application been processed,application_status
tell me straight if it has been processed or not,application_status
can you tell me when my credit card application will be processed,application_status
how much longer until my credit card application is checked,application_status
when will my credit card app be approved,application_status
has my credit card application gone through,application_status
check on my credit card application,application_status
do i have any updates about my credit card application,application_status
has my credit card application been processed,application_status
have i received any messages about my credit card application,application_status
when can i hear the decision on my credit card application,application_status
my credit card application status,application_status
"i applied for the credit card, have you processed my application",application_status
how long to process my credit card application,application_status
how is my application on new credit card going,application_status
what is the status of my new credit card application,application_status
is my application processed for credit card,application_status
help with credit card application status,application_status
is my credit card application approved,application_status
what is the status of my application for the credit card,application_status
has my credit card application been processed yet,application_status
what's the current status of the credit card i applied for,application_status
in what status is my credit card application,application_status
did the application i put in for a mastercard go through yet,application_status
has my application for a new credit card been processed,application_status
has my amex application gone through yet,application_status
i applied for a visa card; did that go through,application_status
what status is my card application in,application_status
did they process the credit card i applied for,application_status
i applied for a new credit card; did it process yet,application_status
did discover get my card application yet,application_status
tell me about my american express application; did it go through,application_status
tell me a little more about the status of my credit card application,application_status
tell me the status of my credit card application,application_status
is the processing done on my new credit card,application_status
i'm desperate to know about my cc processing,application_status
have you heard anything back on my cc application,application_status
is it likely my credit card application has processed yet,application_status
has my credit card application been approved,application_status
when will my cc application process,application_status
savings account balance at chase bank please,balance
check chase bank for my checking balance,balance
what is my checking account balance at chase,balance
i want my checking balance at chase,balance
what's my savings balance at chase,balance
do i have enough money in my chime bank account to take ashley to the movies tuesday,balance
check my visa account and see if i have enough money for dinner tonight,balance
is tehre enough in my bluebird account for groceries this week,balance
do i have enough in my sears account to buy a new dishwasher,balance
is there enough money in my discover account for a new pair of jeans,balance
what is the total of my bank accounts,balance
what is in my bank accounts,balance
what is the balance on my bank accounts,balance
what is remaining in my bank acccounts,balance
how much money is left in my bank accounts,balance
what amount of money is in my bank accounts,balance
what is the balance of my bank accounts,balance
what what kind money is available in my bank accounts,balance
what is the value of my bank accounts,balance
how much funds do i have in my bank accounts,balance
what's my checking account balance,balance
how much do i have in my checking,balance
what's the balance of my savings,balance
how much is in savings,balance
how much money is in my checking account,balance
what's the amount of money accumulated in my bank accounts,balance
what's my current bank savings,balance
how much total cash do i have in the bank,balance
what's my current checking balance,balance
can you tell me my current bank accounts balance,balance
what's the balance of my bank accounts,balance
what is my current balance on my home equity line of credit,balance
please find my balance on my chase mastercard,balance
can you tell me my checking account balance,balance
perform a search for my most recent balance on my amex account,balance
how much is the current balance in my td bank savings account,balance
what is my balance in checking account,balance
how much is available in my savings account,balance
tell me what i have in my money market account,balance
how much money do i have in my account,balance
how much is left of mastercard,balance
what is the available balance in savings,balance
what is the balance on my visa,balance
do i have enough money in my chase account for a new refrigerator,balance
do i have enough money in my charles schwab account to get a new baseball bat,balance
i'd like to know my bank balance please,balance
what's the balance on my bank account,balance
will the money in my capital one account cover a new washing machine,balance
could you check my bank balance for me,balance
will the amount in my chase bank account right now cover the cost of a new dryer,balance
i want to get a new shirt; will the money in my td ameritrade account cover it,balance
how much do i have in the bank,balance
what's my bank balance,balance
what is my bank balance,balance
is there any money left,balance
do i have any cash left,balance
can you tell me how much cash i have,balance
do i have enough in my boa account for a new pair of skis,balance
do i have enough in my chase account for new nikes,balance
can the funds in my wells fargo account cover my lift tickets,balance
do i have enough to cover new skis in my bank of america account,balance
do i have enough in my chase account for a plane ticket,balance
do you know how much i have in checking,balance
what is my saving's account balance,balance
what's the balance in my checking,balance
how much do i have in savings,balance
could you tell me what my checking account balance is,balance
what's my total net worth in all of my bank accounts,balance
what's my account balance,balance
i want to view my balance,balance
check my bank balance,balance
how much money do i have in all of my accounts,balance
how much money do i have in all of my accounts combined,balance
what's my checking balance,balance
how much money do i have total,balance
what's the total of my bank accounts,balance
how much money do i have in checking,balance
i wish to know the balance of my bank of american account,balance
what is the balance of my bank of american account,balance
i need to know my bank balance,balance
i wanna know the balance of my bank of american account,balance
i'd like to know the balance of my bank of american account,balance
i wish to know the balance of my bank of american account now,balance
please tell me my bank balance,balance
i wanna know my bank balance,balance
please let me know what my current bank balance is,balance
what is status of my bank account,balance
what is my balance,balance
what is the balance of my bank account,balance
what is is the details of my bank account,balance
is there enough money in my discover account for a vacation,balance
is there enough money in my account for expenses,balance
do i have enough money in my first hawaiian bank account for a vacation,balance
is there enough money in my bank of hawaii for vacation,balance
is there enough money in my discover account for airplane tickets,balance
what is my savings account balance,balance
what is my savings balance,balance
what is my money market account balance,balance
what is my bank balance for all accounts,balance
tell me my payroll account balance,balance
can you block my chase account right away please,freeze_account
i want my chase account blocked immediately,freeze_account
i need you to block my chase account immediately,freeze_account
can you put a block on my chase account right away,freeze_account
please block my chase account right away,freeze_account
what do i do to freeze my account,freeze_account
place a hold on my bank account,freeze_account
how can i stop transactions on my account,freeze_account
freeze my account immediately,freeze_account
block my monkey market right now,freeze_account
put a stop on my deposit account,freeze_account
stop any future processing on my savings account,freeze_account
put a hault on my savings account,freeze_account
"could you put a stop on my bank account, please",freeze_account
can you put a stop on my bank account now,freeze_account
"can you put a stop on my bank account, please",freeze_account
could you freeze my account,freeze_account
"could you freeze my account, please",freeze_account
can you put a stop on my bank account,freeze_account
"can you freeze my account, please",freeze_account
could you freeze my account now,freeze_account
can you freeze my account,freeze_account
could you put a stop on my bank account,freeze_account
do you mind putting a stop on my bank account,freeze_account
i would like you to put a stop on my bank account,freeze_account
please turn my account to frozen,freeze_account
please make my account a frozen one,freeze_account
please make sure my account is frozen,freeze_account
is it too much trouble to put a stop on my bank account,freeze_account
i would love it if you could put a stop on my bank account,freeze_account
i would appreciate it if you put a stop on my bank account,freeze_account
please set my account as frozen,freeze_account
please freeze my account,freeze_account
i need my account frozen,freeze_account
i'd like my account frozen,freeze_account
i would like my account frozen,freeze_account
i want my account frozen,freeze_account
i really want my account frozen,freeze_account
no payments on my bank account,freeze_account
turn off my bank account,freeze_account
stop all payments to my bank account,freeze_account
shut down my account,freeze_account
close out my account,freeze_account
turn off my account,freeze_account
i need to hold off on my account,freeze_account
plase hold my account for now,freeze_account
terminate the account,freeze_account
i am going to need a block put on my chase account right away,freeze_account
would you please put a block on my chase account right away,freeze_account
i would like a block put on my chase account asap,freeze_account
can you please put a block on my chase account quickly,freeze_account
i need a block put on my chase account right away,freeze_account
i need to put a freeze on my banking account,freeze_account
put a freeze on my bank account,freeze_account
freeze my bank account,freeze_account
can i freeze my bank account,freeze_account
i want you to immediatly block any further activity on my bb&t bank account,freeze_account
block my citibank account right away,freeze_account
add a block to my capital one bank account so it cannot be used any more,freeze_account
please immediatly block my presidential bank account right now,freeze_account
put a block on my amalgamated bank account right now,freeze_account
please put a stop on my back account,freeze_account
please put a block on my td ameritrade account now,freeze_account
i'd like a stop placed on my bank account,freeze_account
place a block on my capital one account right now,freeze_account
i'd like a block on my charles schwab account immediately,freeze_account
"i need you to place a stop on my bank account, thank you",freeze_account
place a stop on my bank account,freeze_account
i need you to freeze my account,freeze_account
i need you to block my mutualone account now,freeze_account
"help me freeze my bank account, please",freeze_account
i'd like to put a freeze on my bank account,freeze_account
block my chase account asap,freeze_account
can you please freeze my bank account,freeze_account
can you please put a stop on my bank account,freeze_account
pause my account,freeze_account
put a hold on my bank account,freeze_account
please do a stop on my bank account,freeze_account
stop payments from my bank,freeze_account
put a hold on my account,freeze_account
stop my account activity,freeze_account
please pause my banking actions,freeze_account
dont allow any action on my account,freeze_account
don't let payments go through using my bank account,freeze_account
please freeze my bank account,freeze_account
i want my bank account frozen,freeze_account
my bank account must be frozen,freeze_account
please ask the bank to freeze my account,freeze_account
i need to freeze my bank account,freeze_account
put a block on my chase account right away,freeze_account
put a hold on my chase account right away please,freeze_account
freeze my account,freeze_account
place a stop on my main account for me please,freeze_account
please put a block on my wells fargo account,freeze_account
put a hold on my bank account please,freeze_account
put a hold on my bank of america account right away please,freeze_account
can you notify the bank to put a stop on my account,freeze_account
can you put a stop on my account,freeze_account
i need a stop placed on my bank account please,freeze_account
can you put a block on my visa account right away,freeze_account
before i make my mastercard payment can you tell me what i've recently charged on it,transactions
please tell me all of my recent transactions,transactions
i want to pay my amazon credit card but i need to know the last few transactions,transactions
before i pay my walmart credit card did i make any purchases using it recently,transactions
i need to know all the recent transactions i've made,transactions
please tell me all the transactions i've made recently,transactions
what are the last ten transactions i've made,transactions
"before i pay my capital one, what are the most recent transactions i've made",transactions
tell me the most recent charges on my chase credit card before i pay the bill,transactions
read off to me the last five transactions i've made,transactions
what transactions have i made on liquor in the past month,transactions
i'd like to see last week's atm transactions,transactions
show me the transactions from costco yesterday,transactions
i need to know something about my latest transaction,transactions
can you check on a transaction for me,transactions
i need some information on a recent transaction,transactions
i need a recent transaction looked into,transactions
can you let me know my latest transactions,transactions
what was the last thing i purchased,transactions
what did i buy last,transactions
how much did my last purchase cost,transactions
how expensive was my most recent transaction,transactions
when was my most recent transaction,transactions
show me the transactions made on my business card for supplies last quarter,transactions
may i get all of the food transactions that were made last month,transactions
can you show me the transactions that were made last night at the restaurant,transactions
what transactions did i make yesterday at the flea market,transactions
please show me what transactions i made on the first of this month,transactions
please tell me my in-person transactions for the last three days using my debit card,transactions
please give me my last ten debit card transactions in the month of december,transactions
what were my last five transactions on my visa card,transactions
i would like to hear all transactions made on my amex for the last ten days,transactions
can you list all of my online transactions for the month of january,transactions
show me my transactions on groceries,transactions
show me my transactions on tacobell,transactions
show me my transactions on make up at sephora,transactions
show me my transactions on mcdonalds,transactions
show me my transactions on clothes at macys,transactions
let me see the list of tranaction on my discovery credit card,transactions
let me know the list of transaction on my first hawaiian bank,transactions
i want to see the list of transaction on my bank of hawaii,transactions
list me my recent transaction,transactions
what are my recent transaction,transactions
please show me my recent transaction,transactions
i want to see my recent transaction,transactions
let me check my transaction for first bank card,transactions
let me check my transaction on my citi card,transactions
show me my recent transactoin,transactions
on my card what have been my recent purchases,transactions
pull up my recent transactions on my mastercard,transactions
on the card can you give me the last transactions,transactions
whats my recent transactions on my card,transactions
on my card what all are my latest transactions,transactions
show my transaction statement,transactions
retrieve my recent transactions,transactions
view my transactions for the last week,transactions
my transaction history,transactions
may transactions for last 2 days,transactions
what was my last transaction,transactions
show me recent transactions,transactions
what transactions happened in the last week,transactions
show me the last month of transactions,transactions
show me the last five transactions,transactions
what's the last transaction i made yesterday,transactions
show me yesterday's last transaction,transactions
open yesterday's last payment,transactions
show me last transaction,transactions
show me transactions related to travel,transactions
help me get access to my recent transaction history,transactions
i need to see my shopping transactions,transactions
get me access to a list of my recent transactions,transactions
i would like to take a look at my transaction history,transactions
can you pull up my most recent transactions,transactions
i want to see my entertainment transactions,transactions
where can i find my recent transaction history,transactions
can you show me transactions related to utilities,transactions
pull up my grocery transactions,transactions
what were my purchases on visa card last month,transactions
i spent what dollar amount last month on mastercard,transactions
what was the amount that i spent on fidelity visa last month,transactions
what did i spend at target on my barclays card last month,transactions
what amount did i spend for food on chase visa on current bill,transactions
i need to know last months transactions,transactions
i need to know the transactions i made on the 10th,transactions
i would like to see the transactions i made last week,transactions
can i see my transactions on the 7th,transactions
can i get my transactions for the date of the 23rd,transactions
show me the transaction on burger king,transactions
show me the transaction on macys,transactions
show me the transaction on mcdonald,transactions
show me the transaction on the food,transactions
show me the transaction on my car,transactions
bring up all purchases from target,transactions
show me my transactions within the past week,transactions
can i see my transactions from yesterday,transactions
show me all gas purchases within the last month,transactions
can you list all recent transactions,transactions
bring up my most recent purchases,transactions
i need to see all visa purchases for march,transactions
"looking at january, show all wine purchases",transactions
how much did i spend at restaurants last week,spending_history
how much have i spent lately on eating out,spending_history
what did i spend at the grocery store yesterday,spending_history
how much money did i spend at starbucks in the last week,spending_history
what was the total i spent at home depot last month,spending_history
where did all my money go this month,spending_history
what have my expenditures been at macys,spending_history
how much did i spend this week,spending_history
how much did i spend on christmas gifts in december,spending_history
how much money did i spend yesterday,spending_history
what did i spend at bath and body works last month,spending_history
how much did i spend on lunches last week,spending_history
what amount did i spend last week,spending_history
what did i spend my money on last week,spending_history
how much did i spend on movies last week,spending_history
have i been spending a lot on groceries lately,spending_history
have i been spending a lot on shoes lately,spending_history
have i been spending a lot on food lately,spending_history
have i been spending a lot on alcohol lately,spending_history
have i been spending a lot on take out lately,spending_history
how much have i spent on shoes lately,spending_history
did i spend a lot on shoes recently,spending_history
how much have i spent on shoes,spending_history
have i have been spending a lot of money on shoes,spending_history
what is the total i spent on shoes recently,spending_history
what have i spent over the last few days,spending_history
how much have i spent recently,spending_history
how much money have i dropped recently,spending_history
how much money have i spent this month,spending_history
what's the amount of money i spent yesterday,spending_history
could you tell me how much i've spent over the past two weeks,spending_history
how much money have i spent this week,spending_history
could you tell me how much money i spent last week,spending_history
please tell me how much i have spent recently,spending_history
how much did i spend last week,spending_history
